model,100.mp4_psnr,100.mp4_qm,100.mp4_ssim,1000.mp4_psnr,1000.mp4_qm,1000.mp4_ssim,200.mp4_psnr,200.mp4_qm,200.mp4_ssim,300.mp4_psnr,300.mp4_qm,300.mp4_ssim,400.mp4_psnr,400.mp4_qm,400.mp4_ssim,500.mp4_psnr,500.mp4_qm,500.mp4_ssim,600.mp4_psnr,600.mp4_qm,600.mp4_ssim,700.mp4_psnr,700.mp4_qm,700.mp4_ssim,800.mp4_psnr,800.mp4_qm,800.mp4_ssim,900.mp4_psnr,900.mp4_qm,900.mp4_ssim,average_psnr,average_ssim,average_qm,score
large_360_720_36videos_AdamWopt_MSELossloss_1fb_1ff_3ep_final.pt,-3.734211057624563,-0.3006409591427408,-0.0060462039589082,-0.4520086122039153,-0.2972451571165688,-0.0891152328292795,0.4504764800103729,0.0480590840618821,0.0029653784812697,0.6200808966719862,0.0575038991206495,0.0012295708160272,0.0731446438987788,0.0040265219434143,-0.0007888952757687,0.0686780814356424,0.0058299925212264,-3.4919921183762526e-05,-1.0416012770377492,-0.0797497735641261,7.038408477832991e-05,-5.9393288721174216,-1.0280433348889977,-0.1769345932758894,-0.1153799543444726,-0.0227187512477744,-0.0043972302603241,0.4304922027075868,0.0719914890728121,0.0120134321635201,-0.9639657468603756,-0.0261038309975758,-0.1540986989240223,0.5
small_360_720_36videos_Adagradopt_MSELossloss_1fb_1ff_10ep_final.pt,-6.165241715091987,-0.5273230545162813,-0.0178735134185561,-4.967613757856739,-0.9181871955166434,-0.1692633579841396,-4.230601841971378,-0.8249151394100789,-0.159152297565601,-3.168088016894039,-0.4029987510189787,-0.0432467680649469,-3.5778552253774336,-0.5642451634598569,-0.0880696833533728,-3.068921306789324,-0.6065705149860516,-0.1177763026832734,-6.722331840719953,-0.5863150540535118,-0.0169425826744745,-10.042975899357124,-1.7699091523914046,-0.3087904366270807,-2.170785449495252,-0.433222534641656,-0.0845796323862652,-2.959593504067236,-0.5785301108167085,-0.1117049355634907,-4.707400855762047,-0.1117399510321201,-0.7212216670811171,0.0
small_360_720_36videos_Adagradopt_PNSRloss_1fb_1ff_10ep_final.pt,-5.767886981068038,-0.4914913811569299,-0.0163997793757675,-4.046039606900823,-0.6651612381736811,-0.1087098239652262,-3.6252704018714432,-0.6933732452575594,-0.1317112815860133,-2.5274258171952013,-0.3237633456539859,-0.0354537215808894,-2.984704638487539,-0.4589451903151076,-0.0693807239900499,-2.6730698963139687,-0.5275224561170866,-0.1023365567194535,-4.587086639148275,-0.4021977619047145,-0.0135656513223711,-8.685465351847196,-1.2954653117814274,-0.1916068908352179,-1.7610990665102977,-0.3473644902253525,-0.0672505211910144,-2.5540789405771527,-0.4851395252797053,-0.0915250434171432,-3.921212733991993,-0.0827939993983147,-0.569042394586555,0.0
small_360_720_36videos_AdamWopt_DSSIMloss_1fb_1ff_10ep_final.pt,-4.487203239594528,-0.3393903883045146,-8.753382119564002e-05,0.1778473310022548,-0.0379136745845274,-0.0187167471287235,0.3106318032181505,0.0709564894487373,0.0153797750905056,0.658235447518777,0.0835098844462391,0.0091085685979599,0.2007562394110174,0.0470689128795456,0.0102757053487253,0.0457109988935826,0.0384893935676524,0.0119702627994869,-2.1435641218351837,-0.1589604867209004,0.0021124222134584,-4.772370568857895,-0.6707588031548717,-0.0919636855989494,0.1033739051562818,0.0414772445745335,0.0111939235021604,0.4121858097562878,0.0977139330321392,0.0216008738783382,-0.9494396395331254,-0.0029126435118233,-0.0827807494815966,0.6
small_360_720_36videos_AdamWopt_MSELossloss_1fb_1ff_10ep_final.pt,-6.452513201924781,-0.5004263597400262,-0.0022118693630167,0.1730881697379516,-0.0488387492786239,-0.0223688679253495,0.3080652096127494,0.0348969888140624,0.0027347509092933,0.5726131528815976,0.0606781588482929,0.0037591033333899,-0.1444771593849125,-0.0116274523187271,0.0002995681442671,-0.1824804152418302,-0.0136175813869723,0.0007544487914782,-5.130815224359495,-0.404048855409254,4.936804707422749e-05,-2.8392256090305,-0.4311290029235435,-0.0652018297438653,0.0702308616382154,0.0073107328445329,0.000444964274464,0.2940603550648539,0.0543564184179539,0.0100195807898604,-1.333145386100615,-0.0071720782742404,-0.1252445702132305,0.4
small_360_720_36videos_AdamWopt_PNSRloss_1fb_1ff_10ep_final.pt,-1.6994177543076887,-0.134430736690521,-0.0024195387459441,-0.4630348730407299,-0.2818172362243247,-0.0835786381823905,0.5234550309661259,0.0581803667742519,0.0042708580125898,0.9039885565738572,0.0920606515355109,0.0046875050803958,0.2306804464967484,0.0227871635826915,0.0009989964481968,0.0530833109913224,0.0089669395545772,0.0015139067733047,-0.3740289099264444,-0.0265038598362084,0.0006440811909285,-6.827982121666008,-1.2759529708534076,-0.2329097352171903,0.1335724504201998,0.0081399472021406,-0.0011222140501009,0.5140383035544573,0.0776492130072972,0.0114395232408638,-0.700564555993816,-0.0296475255449346,-0.1450920521947992,0.6
small_360_720_36videos_SGDopt_MSELossloss_1fb_1ff_10ep_final.pt,-18.034601915602718,-1.6470819756644444,-0.0566951338476783,-9.682540055089348,-1.8760088863514943,-0.3590826940216474,-9.181471754240508,-1.7947213316610493,-0.3459576074308996,-10.618263455845366,-1.3787531325026243,-0.1463668082384455,-9.364044138249136,-1.5210862919495822,-0.2456554040412774,-6.85935688658849,-1.2456631694405007,-0.2255238394609233,-21.10463914935221,-2.054927171966388,-0.0712124667311674,-17.64313460996487,-2.8006400280717667,-0.4443805927798252,-6.394648263918473,-1.161813792650316,-0.2101964502526609,-8.182921384004938,-1.561708425115257,-0.2951586154483309,-11.706562161285603,-0.2400229612252856,-1.7042404205373425,0.0
